audio	text	duration	confidence
segment_0033.wav	Yovavu kpó. Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí Yokitáni	7.796	0.5612
segment_0036.wav	ji Selúgi, Selúgi ji Naxɔ́ɔ, Naxɔ́ɔ ji Tɛláxi.	8.766	0.5261
segment_0037.wav	Tɛláxi ka ji Ablámu; Ablámu ɔ́	4.929	0.5824
segment_0038.wav	è wǎ ɖó nyǐkɔ ná ɖɔ Ablaxámu. Ablaxámu ví lɛ́ɛ ɖíe: Izáki	8.723	0.6847
segment_0039.wav	Isimayɛ́li kpó. Vǐ yětɔn lɛ́ɛ ɖíe: Nɛbayɔ́ti,	5.474	0.5109
segment_0040.wav	é wɛ nyí nukɔngbéví Isimayɛ́li tɔn. Kedáa, Adibeɛli, Mivusámu,	7.429	0.41
segment_0043.wav	Isimayɛ́li ví lɛ́ɛ nɛ́. Ketúla Ablaxámu sín asi ɔ́, vǐ tɔn lɛ́ɛ ɖíe:	8.412	0.6297
segment_0044.wav	Zimulani, Yokicáni, Mɛdani, Madiáani, Yicibaku	8.751	0.9333
segment_0046.wav	Dedáni kpó. Madiáani ví lɛ́ɛ ɖíe: Eyifa, Efɛ́ɛ,	8.02	0.4689
segment_0047.wav	Hanɔki, Avida kpódó Ɛlidáa kpó.	5.865	0.4621
segment_0048.wav	Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí vǐ súnnu Ketúla tɔn. Ablaxámu ji	7.466	0.5217
segment_0049.wav	Izáki; Izáki ví lɛ́ɛ ɖíe: Esawu kpó Izlayɛ́li kpó.	7.001	0.4489
segment_0051.wav	Yaelámu kpódó Koláxi kpó. Elifázi ví lɛ́ɛ ɖíe: Temani,	7.9	0.5147
segment_0054.wav	Zeláxi, Camuma kpó Miziza kpó. Seyíi ví	8.019	0.4051
segment_0055.wav	Lotáni, Covalu, Siveɔ́ni, Esɛ́ɛ kpó	7.816	0.5333
segment_0056.wav	Dicɔ́ni kpó. Siveɔ́ni wɛ ji Ana, bó nyí	6.832	0.4764
segment_0058.wav	Lotáni ɖó nɔví nyɔ̌nu ɖokpó, bɔ è nɔ ylɔ́ ɛ ɖɔ Timuna. Covalu	8.599	0.6547
segment_0060.wav	kpódó Ɔnámu kpó. Siveɔ́ni ví lɛ́ɛ ɖíe: Aya kpó	8.99	0.4388
segment_0064.wav	Wúsi kpódó Alani kpán. Axɔ́sú Edɔ́mu tɔn lɛ́ɛ kpó hɛ̌nnugán lɛ́ɛ kpó	8.737	0.4274
segment_0065.wav	Axɔ́sú e yi axɔ́súzinkpo Edɔ́mu tɔn jí ɖě jɛ ɖě gúdo	7.281	0.5909
segment_0066.wav	cóbɔ axɔ́sú ɖokpó wá jɛ Izlayɛ́li togun ɔ́ nu ɔ́, nyǐkɔ yětɔn lɛ́ɛ	8.229	0.6607
segment_0067.wav	Bɛ́la, Beɔ́ɔ ví ɔ́, Dinavanu wɛ. Bɛ́la wá	7.032	0.6306
segment_0068.wav	lɔ wá kú, bɔ Cawúlu Hlexɔvɔ́tinu e ɖo Efláti tɔ jí ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ.	7.695	0.4699
segment_0069.wav	lɔ wá kú, bɔ Hadádi Payíinu ɔ́ ɖu axɔ́sú ɖó	7.984	0.4005
segment_0081.wav	Aliya, Yetɛ́ti, Oxoliváma, Ela, Pinɔ́nu,	7.742	0.8073
